PDB,SP_PRIMARY,CHAIN
8JCH,Q02792,M
8BTY,Q53637,A
8IN1,A0A1V1FXL2,B
5MPE,P38764,Z
4WD9,P20103,B
7ZU0,P38959,F
8CEM,Q2UVX4,A
7SVA,Q9XGW1,A
7YIF,Q8NCM2,D
5FQ8,Q8A5H5,B
7KFU,A0A1J5IBV5,E
6HPD,T2KN75,A
6M6A,Q72KB4,M
8AT3,A0JPI0,F
7SBB,Q6ZEI7,I
8GUJ,Q5VTR2,K
7YFX,Q8TC59,A
8ZNI,P20023,A
4S20,P60240,L
9B46,A0A653FL90,A
6ST5,Q62NU6,A
8RIZ,P33176,T
8X8G,A0AAT8XUK0,A
5NL2,Q8BHY3,A
1Z3H,P33307,B
9FYC,Q8GSK4,A
7NSB,P53076,a
7SXO,P36775,E
6BTM,A5FJF2,B
8CKA,P56867,B
4C0T,Q5A3P6,A
6QL4,G0SGC7,A
6YAH,P63010,B
3EIF,B6ETQ5,A
7K9T,A1A4T2,C
6LOD,A7NJ88,B
8XI2,A0A2K3DML4,V
5LDS,P15145,B
7RCY,Q18B08,A
4YCZ,G2Q7J4,B
8POE,Q674R7,A
7XYG,O42861,K
8WO2,P56456,A
7QNZ,P18858,A
6JOO,Q6NKI3,A
1BG3,P05708,B
1FFY,P41972,A
4ZUZ,Q6RCR4,A
4FOI,P19367,B
6SXA,Q92889,F
5M7S,O60502,B
7WJM,G4Z2L3,A
3WEO,L0N7E5,A
2X0S,O76283,A
8BC0,Q6P9J9,A
8I0K,Q02218,A
9EJN,A0A1V0NGB6,A
6VDE,A0QYZ2,B
1DGJ,Q9REC4,A
4C7Z,Q46509,A
9DVA,P26231,F
6UPV,P35221,M
6BPQ,U3JD03,D
7C77,Q99MB1,A
7WAC,Q113V7,D
2OAJ,Q12038,A
2WYH,Q99YP5,B
5OT4,Q5ZT54,B
5GAP,P19735,J
2YAJ,Q38HX4,C
7ENN,Q86WJ1,K
5KBP,Q834E8,A
8R2H,Q8IDW0,B
5OA1,P32786,V
8H7G,O15265,L
3V8X,Q9K0U9,A
6ZBJ,Q8I0U8,C
1NL3,P9WGP5,B
6NJM,P19492,A
3SNP,Q01059,B
6XT9,Q3SYG4,I
4G0H,P55980,A
8C1S,P19491,B
1QB4,P00864,A
9GOE,Q9I537,A
7E9H,Q14833,S
2V0G,Q7SIE4,A
8TRH,Q9Y2X0,P
4XRK,G0S143,A
7MEZ,O02696,B
1UKL,P70168,A
3LWW,Q14974,C
7NU7,B4RNT1,A
4D1E,P35609,A
5DFZ,P22543,C
9CHT,Q05086,A
8QDX,P0AES4,C
4ECN,Q8ABA0,A
1DIK,P22983,A
9J8P,Q9H6E5,A
3DIN,Q9X1R4,B
2HPT,P04825,A
4UUD,Q05193,D
4RUL,P06612,A
6M5A,E8MGH9,A
1IYW,P96142,B
7CTG,Q13415,A
8T41,L7N655,A
8POT,P07813,A
7WIW,P9WQJ9,A
1QBA,Q54468,A
5JU6,Q8TGI8,B
7AIB,P23909,A
4PPM,A0A0J9X1Q5,B
7ZKP,Q6CG31,C
1L5Q,P06737,A
5I2A,Q1A666,A
9B9G,Q86TV6,F
4YI5,P00489,A
2VSA,Q03988,A
1QVI,P24733,A
8S91,Q9UJA3,C
7SOJ,P08170,A
7KHR,Q29466,a
6SZ6,A6YRT4,A
8U9C,P25694,A
8XI2,A0A2K3CXZ4,J
6S0K,A0A037YQ84,h
8ZNS,D0W8X3,A
7Y69,Q8NBJ9,A
8EHX,Q5T3F8,A
1BGX,P19821,T
6UP3,Q8VHK9,A
6C02,O14638,B
8WTZ,Q9M8S6,C
8SNO,Q6PJF5,B
5T9A,A0A2D0TCC9,B
8TEK,Q229S1,A
5U2G,P31776,B
8SNL,P78536,A
1E18,Q52675,A
8CH9,Q7SIF4,E
8JQI,P11362,B
7ZOQ,A0A975BRS1,A
6Z16,B7GL84,a
6U9E,Q7X3I9,A
9J0Y,Q94A76,C
8CDQ,Q8IDR3,A
6UC1,A0A161XU12,B
1I8Q,Q53591,A
6CZ7,Q7WTU0,C
5ZSG,G7NS93,A
3QR1,Q9NBA8,A
6NZW,Q80WG5,C
8ID7,P75793,A
8ETP,Q9NQW8,D
6EUD,P37024,A
5IZR,Q86XP0,C
6D7J,K5ZWV5,D
5G04,Q9UJX5,I
7E7L,A0A100YWM3,A
1R7R,Q01853,A
7CQ7,P51798,D
7EEB,E9Q9F6,G
5YMR,Q727N1,D
6RKS,P0AES6,B
5OR1,Q8ZRP0,A
8JMW,A0A6A8LCF5,O
1FFU,P19913,B
8K0B,Q8CBX0,A
7JM6,Q5ZL60,A
8QF8,A0A6I0SRL5,B
5JLH,Q7Z406,G
8UK6,A0A1D8PQM9,A
9BKV,P76129,B
8XVP,Q8GP32,A
1AHP,P00490,B
8IO9,Q31LF9,I
2OLS,Q9K0I2,A
6Y5Q,Q15459,6
8K3Y,A0A059VAZ3,C
6NFF,Q59485,A
5Y3M,Q5I2M5,A
4TXG,Q7NSV3,A
8THC,Q12050,A
8UQ6,P00747,A
7OM0,A0A1S5ZIL8,D
9AXL,P05106,B
6PNJ,G6FME9,A
1N9E,Q96X16,C
1B7Y,P27002,B
3HFZ,Q5SGX1,B
7TFF,Q01813,C
7ZM7,G0SG48,9
8UHE,B4WKI6,K
3FFN,P06396,A
7U58,A0A5Q0TWV7,B
1EU1,Q57366,A
7ONI,Q93034,C
1GM5,Q9WY48,A
8V3V,Q80XL6,A
6DUE,S7W634,A
8GCC,Q4DE53,B
2W55,O54051,H
7KW7,P04150,F
8ID0,A0A9X8SX28,A
5BK4,P29496,D
5Y6Q,Q84IX8,C
8REV,G0RZH0,A
6Q63,A0A174QSL3,C
1KMO,P13036,A
1QQC,Q7SIG7,A
7ZO0,B2UR61,A
8ZBK,Q02566,F
4FLV,P0CL77,A
8KF1,P05067,J
1Z26,Q8U3D2,A
1XFW,P40136,B
4PMW,Q8CI75,B
8OOF,G0S589,J
1FW6,Q56215,B
8XRX,A0AAT8XUL0,A
6EDW,Q8VJU4,C
2QTB,P27487,B
5OT1,Q5JID9,A
8J5Z,A0A499QXI7,C
7X6C,Q9UL62,D
1G8X,P08799,A
7XUH,P40879,B
7JTN,P00751,A
5M5G,G0SDW4,B
2Y6I,Q9X721,A
7KRA,P25574,A
8IDZ,A0AA92W5L2,B
7ZQS,P02786,B
1MZO,P09373,A
3FF6,O00763,C
8OPQ,Q9BXS9,A
7EAP,Q2U8V9,A
8GET,A0A395V8I7,C
3LN7,Q9CM00,A
3WIR,A4XGP2,B
6ACN,P16276,A
1H54,Q7SIE1,B
3TTU,P21179,C
6HZN,Q9UL01,A
1ACO,P20004,A
7ZVW,C4R6V1,C
8XLS,A0T0M8,A
8CAN,A0A6J1WF64,F
7N5D,A0A7U3W892,E
8WX0,P9WI57,B
2ZZG,O58035,B
3VTI,Q8RDB0,A
8WGH,A0A8A0WPY6,A
1BF2,P10342,A
9ARL,C1FUH4,C
3LN6,Q8DXM9,A
8HTU,Q8MFA3,A
6OXC,P9WJK5,A
1CJY,P47712,A
8PUW,G0S263,E
4AQ0,M1E1E9,A
7WFF,P56752,F
1TU5,Q29437,A
6BMT,P05164,A
5E6S,P20701,A
8U65,Q885D3,B
6MDM,P18708,B
6ZOO,A0A0F6NFW5,A
8JLI,Q7L0J3,A
1E3H,Q53597,A
7WLG,A2RM80,A
7WSF,A0A452CBT6,A
6ZXL,P13423,A
5BPT,Q6NU36,A
2CN2,Q70DK5,D
7OUP,Q9NY33,A
6VPV,K9Z2J7,2
7Y4F,Q8A028,C
8KC9,Q32P28,A
7ETW,Q12770,B
7KGZ,A0A395V874,B
7Y7B,A0A222AI95,B
3BQ5,Q9X112,A
5TUA,Q94KI8,A
7KW7,P07900,B
1W6K,P48449,A
4UMW,Q3YW59,A
8CMU,P00488,A
5FKQ,B3PKK9,A
5G5H,P77489,C
1C4K,P43099,A
5N4D,H2E7Q8,B
7ZR1,G0RYR3,A
2FGH,Q28372,A
2TMD,P16099,B
8SVF,Q92560,K
7PMY,Q16348,A
6P8I,P11717,A
7N5B,Q9LVM1,A
6RFS,F2Z6F1,A
7MO9,P14210,D
6P2O,A0A0A0NH71,B
2WGQ,P46883,B
4REQ,P11653,C
5G4F,O05209,B
5GKQ,A0A1S4NYD8,B
7N84,P52891,f
5OAS,Q9I636,A
1C82,Q54873,A
3WSX,Q92673,A
1FEP,P05825,A
7QYD,Q45730,B
8GQ5,Q6SZW1,C
1QHG,P56255,A
8TU6,P27986,B
5JWZ,G2NK78,A
7YQM,P37330,A
7C8D,Q56H28,A
3J09,O29777,A
4Y06,V5YM14,B
6ZDP,C5MCQ7,A
1RQG,Q9V011,A
2J42,O86171,A
1N7Q,Q8CWU3,A
2XKX,P31016,B
8GRT,B4SLK2,A
9CFU,Q9WTI7,P
4WJL,Q8N608,B
3ZJ4,Q9C169,C
7JRD,Q9JYK4,A
6URO,Q12996,E
8RFJ,A0A379PL92,K
5FOK,G3XCY8,B
4AUE,M4GGR5,D
2D73,G8JZS4,B
6VNW,F1MB52,C
4BP9,O76728,C
4RF9,O15992,A
5O71,Q9UHP3,A
1BY5,P06971,A
6DWO,Q832K9,D
4HPF,A8MYU2,B
3CSK,Q08225,A
1H2Z,P23687,A
8H97,A0A516RTC5,A
9D32,C7ECT9,A
1GQK,B3PC73,B
5A01,Q7KJA9,C
7C8J,E2DHI3,A
5B68,Q8NNA7,A
6KCL,Q25704,A
3FED,Q9Y3Q0,A
8QME,A0A7U9HVH2,C
8FEI,P02789,A
5U47,Q5M2U8,A
6AT7,C5XXT8,B
8PO9,Q24995,C
5OAU,A0A0E8T757,A
4FNV,Q89YR9,A
4JCM,B9A1J6,A
5VMA,A8FDC4,A
4U3C,P9WQ16,A
8EKI,P33891,C
1HM3,Q59288,A
1DF0,Q07009,A
3WNK,P94286,A
6SUK,P08473,A
6PAS,O77105,A
6D05,P02787,C
6JSJ,P32266,A
7WIJ,K2SUY0,E
5JCF,D9N195,A
6P2L,G8TAF2,A
4NBQ,Q83D87,A
5JWG,F8WQK8,B
1H76,P09571,A
1G0D,P52181,A
1F9B,O77811,A
6E4V,P16869,A
8OXY,Q08188,A
6L30,Q9H8V3,A
3T0U,P12807,B
6UI4,I1RCT2,A
2BV3,P13551,A
1LFG,P02788,A
3S8R,P07662,B
3V8U,Q9K0V0,A
1KEH,Q9L5D6,A
1BIY,O77698,A
5WG3,P25098,A
5Y9D,O74934,A
1DTZ,Q9TUM0,A
1BLF,P24627,A
7ZDP,A0A9J4RF63,3
4C5U,Q68G84,D
1KCK,P43379,A
1AOV,P56410,A
5U1D,Q03519,B
1DED,P05618,B
4OIF,F8TRX0,B
3HK2,Q746M7,A
8Q7R,P0CG48,U
8P98,Q8A5Z2,A
7UV9,Q9Y2K7,K
8XI2,A0A2K3E831,R
6CGT,P30920,A
7NF6,W5P8K2,A
1YVL,P42224,B
4E57,O86089,B
3BMW,P26827,A
7ZRG,P03960,B
3P0I,Q4QFJ7,B
5LLW,F7RW09,A
8I2H,P23945,A
8JIB,Q16G28,A
3N6R,Q5LUF3,A
1CYG,P31797,A
1GPU,P23254,A
7VGF,O75027,A
1K9E,Q09LY5,A
1L2A,P0C2S5,B
3IG8,P32477,A
9EF0,P00388,A
8D82,P40189,E
7USL,P05107,B
2CG9,P02829,B
6I3O,G0S700,A
7XBK,Q9H078,D
7CAL,Q39128,A
5A5U,G1SZ03,B
8VIY,O15296,A
7FH7,A0A1Y0K711,A
7XNK,P51787,G
7VGG,P43254,A
5LGV,Q9L1K2,B
6K8S,A0A1A7BFR5,A
1AVC,P79134,A
4B7O,Q841A2,A
7OBQ,P33731,z
4O8A,P09546,A
6WTH,P37088,A
8HUB,Q01433,D
4YIX,Q57ZF2,A
6K8N,Q97ZJ8,C
6UWR,O32739,L
3PFQ,P68403,A
6KLO,Q46221,B
6FO1,Q9H6T3,G
4N2B,Q9Y2J8,A
1D2M,Q56243,A
8R3O,P43757,D
1PN0,P15245,A
1DGS,Q9ZHI0,A
2FON,Q5D8D3,A
6L7I,Q93EP1,G
7D56,Q9ULW8,C
7WMV,P13866,A
8GO3,P0ABI8,A
1LOX,P12530,A
8GHE,P18054,D
7XUF,P92960,A
8IFY,A0A6J0Z472,F
8BRG,Q6CMY7,A
8JNX,A0A023I4U3,A
1W07,O65202,B
5VRB,B4RKU9,C
4CYL,G5ECA1,A
7NSC,Q8IUR7,E
2CFZ,Q9I5I9,A
2FDC,P56981,A
5JQK,A0A144A2H0,B
1HCY,P04254,E
1K3I,P0CS93,A
3TSQ,A0A0H3JHT3,A
2BS4,P17412,D
6NBY,Q8DKX9,F
8TEO,P08510,A
3U9T,Q9I299,A
6HBU,Q9UNQ0,A
6CNB,P32349,O
6S1K,P07363,B
4ELJ,P06400,A
5GAS,H9ZQR4,N
2VOB,Q711P7,B
7OBA,Q9NYV6,O
4EPA,P46359,A
7Y8R,Q9NPI1,S
5EBZ,O15111,D
3GQ2,P41541,B
4COI,Q9WYL6,A
1LTX,P37727,R
4CI8,O00423,B
8CPD,P04049,A
6CT0,P10515,0
3O4Z,P53038,B
5ZDH,E3PJ86,I
6BSR,Q9K3C9,A
7TCH,O34741,A
3ZR5,P54818,A
7KLU,Q12931,B
7P91,O52683,A
1KWG,O69315,A
4AEF,Q8TZP8,A
2Z6H,P35222,A
3O0Q,O33839,B
7VHP,P0AAI3,W
1QF6,P0A8M3,A
1E07,P06731,A
6V4S,V4JF97,E
6RTF,Q8BU91,B
6VG1,Q6GLU2,B
7KW7,P0DMV8,D
1WCS,O44049,A
3FHH,P72412,A
8EA3,A0A8M0FGU0,O
1T1U,P32738,A
1JQK,P31896,E
6FPY,P19827,A
1WMN,P46881,B
8A42,P18791,A
7E1Y,A3DPD7,E
7Z8I,Q13409,h
4REQ,P11652,D
9CEU,A0A0L0H5U9,P
1GJW,O33838,A
2XR1,Q8PZ03,A
5HMQ,Q88JU3,B
7QQH,Q6NSJ0,B
4FL2,P43405,A
6XP5,G0S1R5,Q
6ELQ,Q3AE44,B
3VMP,Q54443,A
1ZQ1,Q9V0U0,C
6T7J,B7R5K0,A
7Y18,Q07845,A
9F8X,A0A368XMX8,B
1H3C,P33247,A
1GXD,P08253,B
5T89,P17948,X
7SX9,P13797,D
3ZIU,Q6KHA5,A
6VRH,P31645,A
7ZN6,G2QFD0,A
1F9D,P37698,A
6Z6H,Q06629,I
1G5A,Q9ZEU2,A
5B48,Q96Y66,A
8QLJ,P0A4G1,A
8QXO,Q9Y3Z3,D
8J9C,B0RY21,B
4OHM,Q14397,B
3U9U,Q15303,F
8QLG,H2BJN6,B
4CJ1,P0C2S4,A
8S36,A0A422ZM74,M
5WLN,P35818,O
1DJW,P10688,B
5W94,P40090,A
2IOP,P0A6Z3,C
3CTZ,Q9NQW7,A
7XJP,Q9SU72,A
6HAD,P29401,A
6Q6Z,Q9XF23,A
2RHP,P35442,A
8RTN,P00734,L
2JKR,P17427,L
4MIG,Q6QWR1,D
6D5D,A0A4V8GZQ9,A
2Q2E,Q8PUB8,B
7KDV,P23780,K
9B9G,Q08209,I
7O6Z,A0A7R8L7W4,B
8U4A,Q65JI9,A
7D9R,Q02153,B
1B25,Q8U1K3,C
3W0L,Q91754,B
5CK1,Q89ZX5,A
4DG9,Q9I4B7,A
7CEB,P23229,A
7NPA,A0A2Z5PF12,B
8E7F,P09489,A
2ZXI,O66962,D
7UUY,Q63008,A
5FG3,Q9Y9B3,A
7DB5,A0A8I3AZV2,A
8C0Z,Q5P143,A
6FRV,P69328,A
8RK2,P27694,A
4WZI,Q07343,B
7P8V,P23367,B
1G87,P37700,A
5FA6,P16435,B
7KRW,P0A6Y8,A
4TXI,Q8VDP3,A
1W63,P22892,I
1IKQ,P11439,A
3HN3,P08236,E
3EPM,Q9A6Q5,A
4MKT,P09960,A
6TJV,Q8DKF5,F
8CMZ,P45481,A
3TO3,Q81RQ8,B
5H3K,P74396,A
1RQ5,Q59325,A
2ZCI,Q9AEM1,B
4AMV,P17169,C
8HXK,A0A7D7J6S6,A
4BKE,P02768,A
6INN,P22897,C
5AXG,B0KBZ7,A
1BS2,Q05506,A
1NBW,Q59474,C
8EY9,Q7XJJ7,K
6Q2R,P07949,Z
2FAH,P21642,B
8HJ6,Q9XEI3,A
6I0D,Q56227,T
4K2R,P43403,A
7W0Y,Q71K68,l
1T10,P42861,A
7BZB,Q9LUE2,A
1AOR,Q51739,A
4AH6,Q6PI48,A
1QSL,P00582,A
1EUT,Q02834,A
4E1G,Q05769,B
5LIZ,Q8GCA3,A
7WUA,Q6NES7,C
7SQK,Q68CZ6,C
3AGR,C9K7J7,A
1CII,P06716,A
6N2C,E4Q7C4,B
8ST0,P43681,D
3EDE,Q8KKG0,B
4M8M,Q5RGW1,A
8VSI,A0A1D7Q186,A
2OYU,P05979,P
2GRV,A0R2I8,B
3L76,P74569,A
1LRW,P12293,C
7PSM,P40416,A
3CB4,P60785,B
1H4I,P16027,C
5IJO,Q9BVL2,G
7XA7,A0A7D7FA76,A
4CMR,I3RE04,B
8FCK,Q6DCY9,B
2XPI,P41889,D
7S2X,B0L7F9,D
7YV8,A0A1U7QTA1,A
8HHL,P0DXB1,A
5IZL,P57772,A
1FWX,Q51705,A
8W6N,Q9BZW2,A
1M9S,P0DQD2,A
3PS5,P29350,A
3M07,Q8ZPF0,A
6F40,P46678,W
1G7T,O26359,A
9BLT,P38646,A
2B1G,P31335,B
3BK7,Q9UZA4,A
4Y9L,Q9XWZ2,A
5W25,P9WFW3,A
4GYS,Q0BRB0,A
1K4T,P11387,A
4F8R,Q5KWC1,A
1F5N,P32455,A
1FVF,O62547,A
1FUI,P69922,A
4TLW,P75409,A
6IJC,A3SI50,A
1CIY,P0A366,A
1IL2,P21889,A
5OYN,Q9A9Z2,B
4QG5,Q4QCF1,D
1BG1,P42227,A
3LTF,P04412,A
3A47,P53051,A
1JI6,Q06117,A
3ND9,O57728,A
9GC3,Q12308,C
1GVI,O69007,B
8T1I,Q7TN02,U
4QX3,P0A379,A
7RI3,A0A2A2D7J4,A
7P9K,B7L3S9,A
1GPE,P81156,A
7MIH,Q9NRF8,A
2W6C,P04058,X
4MAD,O31341,B
7SF2,E2NBY7,F
8DYS,Q9BY44,A
4PXQ,F1QR43,B
1BVZ,Q08751,B
8EXT,P18357,A
1QR6,P23368,B
1II0,P08690,B
4BDT,P22303,A
1GAL,P13006,A
6HN0,P14639,A
6ZXF,Q8N1G4,k
5EW5,P09883,D
1FLG,Q9Z4J7,B
8JPZ,Q5Q041,A
3N05,Q82AV7,B
1Q84,P21836,B
1L0W,P36419,A
9EV4,Q8NMG5,A
8A9C,A6T5F3,B
2FOK,P14870,A
2BCE,P30122,A
3IVA,P13009,A
5NQA,Q8N4A0,B
8IMX,Q969N2,T
3DRI,A2RJ53,A
6LGG,A0A077JI83,B
4MAE,I0JWN7,A
6OVB,P19415,A
5ZU3,Q2UD26,A
8XI2,A0A2K3DUN6,W
6N2B,E4S4B2,B
5U2O,A0A384E0U3,A
4AKF,Q5ZRP9,A
9E6M,P16243,A
7MET,A0A0B9X4I2,A
2HWG,P08839,A
3LMM,Q6NEG3,C
6YF4,P29166,A
4N7Q,O82392,A
6N2O,A0L8G4,A
5VQE,A0A2R2JFS5,A
1G72,P38539,C
8DNM,Q16555,B
6VYH,A0A1U7U6F1,A
5J67,O75129,B
1KFQ,P47244,A
1D4E,P83223,A
6AO8,B4RL22,A
8TXW,Q8IYW5,K
1JRZ,P0C278,A
8IVI,O06417,B
1F0X,P06149,B
8BEW,A0A097ATG3,D
6M0P,Q50925,A
6C3Y,P17846,A
8VBV,Q2FZ94,A
5GGF,Q8WZA1,C
8FW5,Q12980,C
8YKA,Q96JH7,2
5ZZJ,E3W202,A
1E6Y,P07962,A
7Z0S,P16431,E
5AHK,Q4K6F7,A
2JI6,P40149,B
6UO0,E9AE57,B
5UJU,A0A0H3KBY8,B
5GUW,P24474,M
1DCE,Q08602,C
2J5C,A6XH05,B
1H2A,P21852,L
9JR3,Q03431,R
1FWF,P18314,C
1HCM,P72181,B
4GR5,D1GLU5,C
4OCG,A3QAV3,B
6QPQ,Q12158,D
6FKK,Q7KK54,A
8A3T,P53197,B
5BJS,G0S8H7,A
2IUT,Q9I0M3,B
5DNE,H0W0T5,D
5VLQ,B2GUB3,A
5NBD,Q0P9C4,A
2H1N,Q5L1D2,A
1FRF,P18188,L
5L22,O67184,A
5KKP,Q96PZ0,A
8W96,O83008,A
3EE6,O14773,A
1X6L,P07254,A
6KBN,P39968,A
8Y7G,A0A0H2SHM8,B
7K0N,O15270,B
3GHG,P02671,A
4R3U,I3VE77,B
7KOH,Q8X9L4,C
1EHK,Q5SJ79,A
8YJX,A0A1Y2P428,A
2CFM,P56709,A
3B3Q,Q99K10,A
7QOO,Q96BT3,T
1C4G,P00949,B
6PE2,Q7M3K2,A
8R68,A0A2J7KPZ2,A
1E3A,P06875,B
1E0Y,P56216,A
4XCG,Q9V2S9,A
1GW0,Q70KY3,A
4R89,Q9I2N0,A
1HM5,Q9N1E2,A
3VGD,Q55088,A
9ESI,O43071,a
3HB3,P98002,A
8QOG,P25045,B
7TIN,Q2FZL7,B
1FPM,P21164,B
6KGW,L0T911,A
1GZV,P08059,A
8S9T,Q6ZED1,C
8HQS,Q03718,E
4GX0,Q74FS9,A
2E0W,P18956,B
4WMJ,G9BZJ0,D
3BTP,P08062,A
2E84,Q8VUI3,A
5BNZ,Q9I2U8,A
8IB8,P17987,I
1AMU,P0C061,B
8OVC,A0A2U9PNL2,R
6Y48,A0A7G5K3Z4,C
5FIH,Q06135,A
8US3,Q9I0U1,A
3WVO,Q47PI4,A
3GDE,O29632,A
1GQ2,P40927,N
6XHJ,Q9V2T8,A
6H54,P19120,A
7XRK,Q59470,A
1CR6,P34914,B
7QNA,P48169,A
1ZJW,P00962,A
6AYE,Q8TDD5,C
2W6H,P19483,C
1CT9,P22106,D
3AII,O26157,A
5XEX,Q2FZ20,A
7PCR,P56185,A
1OA1,P31101,A
1E6V,Q49605,A
6JMN,Q4AE59,A
9J5W,Q3ZAV1,A
1CP9,Q7WZI9,B
7NKY,Q04636,O
1T1E,Q8RR56,A
8H7J,Q2VL90,A
1AOZ,P37064,B
1OVM,P23234,B
8WV2,A0A679EIJ6,H
6LBR,Q6CJ70,A
1PFV,P00959,A
3CRV,Q4JC68,A
2B5U,P00646,A
6PFZ,O29847,A
3NVL,Q38AH1,A
8VZN,Q91X85,A
7XSF,K1KZY4,A
1VCO,Q5SIA8,A
4G37,P08659,B
7B2H,P11558,D
1USH,P07024,A
7JG2,O70570,E
3HX6,Q9HVM8,B
1LPM,P20261,A
8QV6,Q8IVW8,A
8K1M,O05318,B
5A3Y,P00800,A
8TC8,O43776,D
4UTQ,P25714,A
1Q2V,P61112,A
1GRL,P0A6F5,A
3FBX,Q3TCN2,A
8PTX,Q9H9T3,C
5ECU,A4XHB2,A
5E9H,Q4HYR2,B
1KDG,Q01738,A
3UGG,E3PQS3,A
8ARP,P24783,A
9BCM,B2CZL6,A
5U05,P0A7E5,A
3OCN,Q51504,A
2XOK,P07251,A
5U0S,P87306,Q
1A6D,P48424,A
8XAK,P07271,A
5YH0,E7FBB8,F
2NXW,P51852,A
1IOK,Q9Z462,E
1GWS,P24092,A
6RRQ,Q9I188,A
6N7R,Q03776,D
1G6I,P32906,A
7R9G,Q12211,A
1OA0,Q01770,B
3Q2V,P09803,A
5K9H,A0A1D5B391,A
5KCN,P45299,A
7KW7,P31948,E
4LEM,O50443,A
2V7Z,P63018,A
2ONH,Q40322,B
6KXK,Q941L3,D
6NPO,Q81YA8,A
1A6D,P48425,B
5T94,Q02821,B
8B7S,A0A9X9ZA80,A
3OA5,B6A876,B
5NNO,C9ZQX6,B
5ZXD,Q8NE71,B
